accession	proposed_species
KP071492	Reptarenavirus giessenae
KP071553	Reptarenavirus giessenae
KP071560	Reptarenavirus giessenae
KP071626	Reptarenavirus giessenae
MH483068	Reptarenavirus giessenae
KP071510	Reptarenavirus giessenae
KP071570	Reptarenavirus giessenae
MN567044	Reptarenavirus giessenae
KP071489	Reptarenavirus giessenae
KR870027	Reptarenavirus giessenae
MH483057	Reptarenavirus giessenae
MH503956	Reptarenavirus giessenae
KP071581	Reptarenavirus giessenae
OM456557	Reptarenavirus giessenae
MH483075	Reptarenavirus giessenae
KP071547	Reptarenavirus giessenae
KP071574	Reptarenavirus giessenae
KP071535	Reptarenavirus giessenae
KP071670	Reptarenavirus giessenae
KP071679	Reptarenavirus giessenae
KP071563	Reptarenavirus giessenae
KP071634	Reptarenavirus giessenae
KP071500	Reptarenavirus giessenae
KP071672	Reptarenavirus giessenae
KP071625	Reptarenavirus giessenae
KP071587	Reptarenavirus giessenae
KP071669	Reptarenavirus giessenae
KP071555	Reptarenavirus giessenae
KP071678	Reptarenavirus giessenae
MZ818775	Reptarenavirus giessenae
KP071622	Reptarenavirus giessenae
KP071575	Reptarenavirus giessenae
KP071567	Reptarenavirus giessenae
KP071549	Reptarenavirus giessenae
KP071478	Reptarenavirus giessenae
KP071607	Reptarenavirus giessenae
KP071609	Reptarenavirus giessenae
KP071674	Reptarenavirus giessenae
KP071513	Reptarenavirus giessenae
KP071485	Reptarenavirus giessenae
OM456559	Reptarenavirus giessenae
KP071621	Reptarenavirus giessenae
OM456551	Reptarenavirus giessenae
KP071618	Reptarenavirus giessenae
KP071486	Reptarenavirus giessenae
KP071624	Reptarenavirus giessenae
KP071551	Reptarenavirus giessenae
KP071544	Reptarenavirus giessenae
MN567066	Reptarenavirus giessenae
KR870020	Reptarenavirus giessenae
MN567047	Reptarenavirus giessenae
KX527598	Reptarenavirus giessenae
KR870023	Reptarenavirus giessenae
MH483048	Reptarenavirus giessenae
KP071566	Reptarenavirus giessenae
KP071584	Reptarenavirus giessenae
OM456553	Reptarenavirus giessenae
KP071620	Reptarenavirus giessenae
MN567046	Reptarenavirus giessenae
JQ717261	Reptarenavirus giessenae
KP071677	Reptarenavirus giessenae
MH483090	Reptarenavirus giessenae
MH483087	Reptarenavirus giessenae
KP071548	Reptarenavirus giessenae
MW091469	Reptarenavirus giessenae
NC_039006	Reptarenavirus giessenae
KR870022	Reptarenavirus giessenae
KP071534	Reptarenavirus giessenae
MH483079	Reptarenavirus giessenae
MH483066	Reptarenavirus giessenae
MH483062	Reptarenavirus giessenae
MH483047	Reptarenavirus giessenae
