accession	organism	taxid	segment	description	isolate	strain	species_taxid	species_name	acc_org	acc_spp	classified	Stenglein_snake_number	Hepojoki_snake_number	snake_number
KR870020	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-1 segment L Z protein and RdRp genes, complete cds	1	UHV-1	1654822	unclassified Reptarenavirus	KR870020_University of Helsinki virus	KR870020_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_1	Hepojoki_2015_snake_1
MN567047	Frankfurter Strasse virus-1	2707727	L	Frankfurter Strasse virus-1 isolate N171-16_FStV-1 segment L, complete sequence	N171-16_FStV-1	NA	1654822	unclassified Reptarenavirus	MN567047_Frankfurter Strasse virus-1	MN567047_unclassified Reptarenavirus	FALSE	NA	NA	NA
KX527598	Bis spoeter virus	1938699	L	Bis spoeter virus clone BSV-1_L_S131157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	BSV1	NA	1654822	unclassified Reptarenavirus	KX527598_Bis spoeter virus	KX527598_unclassified Reptarenavirus	FALSE	NA	NA	NA
KR870023	University of Giessen virus 3	2848326	L	University of Giessen virus 3 strain UGV-3 segment L Z protein and RdRp genes, complete cds	3	UGV-3	3052726	Reptarenavirus giessenae	KR870023_University of Giessen virus 3	KR870023_Reptarenavirus giessenae	TRUE	NA	Hepojoki_2015_snake_8	Hepojoki_2015_snake_8
MH483048	Hipoen jatkoon virus 1	2447928	L	Hipoen jatkoon virus 1 isolate F17-0012_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_6	NA	1654822	unclassified Reptarenavirus	MH483048_Hipoen jatkoon virus 1	MH483048_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071566	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L7)	1654822	unclassified Reptarenavirus	KP071566_unidentified Reptarenavirus	KP071566_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
KP071584	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L7)	1654822	unclassified Reptarenavirus	KP071584_unidentified Reptarenavirus	KP071584_unclassified Reptarenavirus	FALSE	44	NA	Stenglein_snake_44
OM456553	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild1-FFPE segment L, complete sequence	CR-wild1-FFPE	NA	1654822	unclassified Reptarenavirus	OM456553_Aurora borealis virus 3	OM456553_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071620	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L19) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L19)	1654822	unclassified Reptarenavirus	KP071620_unidentified Reptarenavirus	KP071620_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
MN567046	University of Helsinki virus-2	2707731	L	University of Helsinki virus-2 isolate N171-16_UHV-2 segment L, complete sequence	N171-16_UHV-2	NA	1654822	unclassified Reptarenavirus	MN567046_University of Helsinki virus-2	MN567046_unclassified Reptarenavirus	FALSE	NA	NA	NA
NC_018484	CAS virus	1223561	L	CAS virus segment L, complete genome	ATB	NA	3052724	Reptarenavirus californiae	NC_018484_CAS virus	NC_018484_Reptarenavirus californiae	TRUE	NA	NA	NA
KP071531	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake2/2009 (L1) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake2/2009 (L1)	1654822	unclassified Reptarenavirus	KP071531_unidentified Reptarenavirus	KP071531_unclassified Reptarenavirus	FALSE	2	NA	Stenglein_snake_2
JQ717261	CAS virus	1223561	L	CAS virus isolate ATB segment L, complete sequence	ATB	NA	3052724	Reptarenavirus californiae	JQ717261_CAS virus	JQ717261_Reptarenavirus californiae	TRUE	NA	NA	NA
KP071677	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L21)	1654822	unclassified Reptarenavirus	KP071677_unidentified Reptarenavirus	KP071677_unclassified Reptarenavirus	FALSE	32	NA	Stenglein_snake_32
MH483090	Mista naita tulee virus 1	2448018	L	Mista naita tulee virus 1 isolate S17-252_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-252_6	NA	1654822	unclassified Reptarenavirus	MH483090_Mista naita tulee virus 1	MH483090_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071529	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake3/2009 (L1) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake3/2009 (L1)	1654822	unclassified Reptarenavirus	KP071529_unidentified Reptarenavirus	KP071529_unclassified Reptarenavirus	FALSE	3	NA	Stenglein_snake_3
MH483087	Mista naita tulee virus 1	2448018	L	Mista naita tulee virus 1 isolate S17-172_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-172_6	NA	1654822	unclassified Reptarenavirus	MH483087_Mista naita tulee virus 1	MH483087_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071548	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L19) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L19)	1654822	unclassified Reptarenavirus	KP071548_unidentified Reptarenavirus	KP071548_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
MW091469	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate F18-300-101_KePV-1_L Z protein and RNA-dependent RNA polymerase genes, complete cds	F18-300-101_KePV-1_L	NA	1654822	unclassified Reptarenavirus	MW091469_Keijut pohjoismaissa virus 1	MW091469_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071533	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Corallus annulatus/California/snake1/2009 (L1) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Corallus annulatus/California/snake1/2009 (L1)	1654822	unclassified Reptarenavirus	KP071533_unidentified Reptarenavirus	KP071533_unclassified Reptarenavirus	FALSE	1	NA	Stenglein_snake_1
NC_039006	University of Giessen virus	1672385	L	University of Giessen virus strain UGV-1 segment L Z protein and RdRp genes, complete cds	1	UGV-1	3052726	Reptarenavirus giessenae	NC_039006_University of Giessen virus	NC_039006_Reptarenavirus giessenae	TRUE	NA	NA	NA
KR870022	University of Giessen virus 1	2447931	L	University of Giessen virus 1 strain UGV-1 segment L Z protein and RdRp genes, complete cds	1	UGV-1	3052726	Reptarenavirus giessenae	KR870022_University of Giessen virus 1	KR870022_Reptarenavirus giessenae	TRUE	NA	Hepojoki_2015_snake_5	Hepojoki_2015_snake_5
KP071534	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L17) segment L Z protein (Z) and L polymerase (L) genes, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L17)	1654822	unclassified Reptarenavirus	KP071534_unidentified Reptarenavirus	KP071534_unclassified Reptarenavirus	FALSE	36	NA	Stenglein_snake_36
MH483079	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S15-0040_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S15-0040_4	NA	1654822	unclassified Reptarenavirus	MH483079_Keijut pohjoismaissa virus 1	MH483079_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483066	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S14-0591_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-0591_3	NA	1654822	unclassified Reptarenavirus	MH483066_Keijut pohjoismaissa virus 1	MH483066_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483062	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S14-369-79_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-369-79_4	NA	1654822	unclassified Reptarenavirus	MH483062_Keijut pohjoismaissa virus 1	MH483062_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483047	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate F17-0012_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_5	NA	1654822	unclassified Reptarenavirus	MH483047_Keijut pohjoismaissa virus 1	MH483047_unclassified Reptarenavirus	FALSE	NA	NA	NA
MN567045	Arabuta Snake virus-1	2707725	L	Arabuta Snake virus-1 isolate N171-16_ArSV-1 segment L, complete sequence	N171-16_ArSV-1	NA	1654822	unclassified Reptarenavirus	MN567045_Arabuta Snake virus-1	MN567045_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071536	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L21)	1654822	unclassified Reptarenavirus	KP071536_unidentified Reptarenavirus	KP071536_unclassified Reptarenavirus	FALSE	36	NA	Stenglein_snake_36
KX527594	Aurora borealis virus	1672381	L	Aurora borealis virus clone ABV-4_L_S131157 Z-protein gene, partial cds; and RNA-dependent RNA polymerase gene, complete cds	ABV4	NA	1654822	unclassified Reptarenavirus	KX527594_Aurora borealis virus	KX527594_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483092	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate Sn36_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Sn36_4	NA	1654822	unclassified Reptarenavirus	MH483092_Keijut pohjoismaissa virus 1	MH483092_unclassified Reptarenavirus	FALSE	NA	NA	NA
KX527597	Keijut pohjoismaissa virus	1938702	L	Keijut pohjoismaissa virus clone KePV-1_L_S131157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	KePV1	NA	1654822	unclassified Reptarenavirus	KX527597_Keijut pohjoismaissa virus	KX527597_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483072	Keijut pohjoismaissa virus 1	2447927	L	Keijut pohjoismaissa virus 1 isolate S14-1477-78_4 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_4	NA	1654822	unclassified Reptarenavirus	MH483072_Keijut pohjoismaissa virus 1	MH483072_unclassified Reptarenavirus	FALSE	NA	NA	NA
KR870025	Aurora borealis virus	1672381	L	Aurora borealis virus strain ABV-3 segment L Z protein and RdRp genes, partial cds	3	ABV-3	1654822	unclassified Reptarenavirus	KR870025_Aurora borealis virus	KR870025_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_8	Hepojoki_2015_snake_8
KR870024	Suri Vanera virus	1672383	L	Suri Vanera virus strain SVaV-1 segment L Z protein gene, partial cds; and RdRp gene, complete cds	1	SVaV-1	1654822	unclassified Reptarenavirus	KR870024_Suri Vanera virus	KR870024_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_8	Hepojoki_2015_snake_8
KX527589	Keijut pohjoismaissa virus	1938702	L	Keijut pohjoismaissa virus clone KePV-1_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	KePV1	NA	1654822	unclassified Reptarenavirus	KX527589_Keijut pohjoismaissa virus	KX527589_unclassified Reptarenavirus	FALSE	NA	NA	NA
KX527593	Gruetzi mitenand virus	1938698	L	Gruetzi mitenand virus clone GMV-1_L_T200 RNA-dependent RNA polymerase gene, partial cds	GMV1	NA	1654822	unclassified Reptarenavirus	KX527593_Gruetzi mitenand virus	KX527593_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU311009	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 04 L protein (L) gene, partial cds	UPM-MY 04	NA	1654822	unclassified Reptarenavirus	KU311009_Alethinophid 3 reptarenavirus	KU311009_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU311008	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 03 L protein (L) gene, partial cds	UPM-MY 03	NA	1654822	unclassified Reptarenavirus	KU311008_Alethinophid 3 reptarenavirus	KU311008_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU311007	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 02 L protein (L) gene, partial cds	UPM-MY 02	NA	1654822	unclassified Reptarenavirus	KU311007_Alethinophid 3 reptarenavirus	KU311007_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU198322	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM-MY 01 L protein (L) gene, partial cds	UPM-MY 01	NA	1654822	unclassified Reptarenavirus	KU198322_Alethinophid 3 reptarenavirus	KU198322_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU214828	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 04A L protein (L) gene, partial cds	UPM/MY 04A	NA	1654822	unclassified Reptarenavirus	KU214828_Alethinophid 3 reptarenavirus	KU214828_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU214827	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 03A L protein (L) gene, partial cds	UPM/MY 03A	NA	1654822	unclassified Reptarenavirus	KU214827_Alethinophid 3 reptarenavirus	KU214827_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU214826	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 02A L protein (L) gene, partial cds	UPM/MY 02A	NA	1654822	unclassified Reptarenavirus	KU214826_Alethinophid 3 reptarenavirus	KU214826_unclassified Reptarenavirus	FALSE	NA	NA	NA
KU214825	Alethinophid 3 reptarenavirus	1653399	L	Alethinophid 3 reptarenavirus isolate UPM/MY 01A L protein (L) gene, partial cds	UPM/MY 01A	NA	1654822	unclassified Reptarenavirus	KU214825_Alethinophid 3 reptarenavirus	KU214825_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071578	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S7) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S7)	1654822	unclassified Reptarenavirus	KP071578_unidentified Reptarenavirus	KP071578_unclassified Reptarenavirus	FALSE	26	NA	Stenglein_snake_26
OM456549	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-captive3-FFPE segment S, complete sequence	CR-captive3-FFPE	NA	3052726	Reptarenavirus giessenae	OM456549_University of Giessen virus	OM456549_Reptarenavirus giessenae	TRUE	NA	NA	NA
MW091471	University of Giessen virus	1672385	S	University of Giessen virus isolate F18-300-101_UGV_S glycoprotein precursor and nucleoprotein genes, complete cds	F18-300-101_UGV_S	NA	3052726	Reptarenavirus giessenae	MW091471_University of Giessen virus	MW091471_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071474	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (S4) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (S4)	1654822	unclassified Reptarenavirus	KP071474_unidentified Reptarenavirus	KP071474_unclassified Reptarenavirus	FALSE	27	NA	Stenglein_snake_27
OM456554	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild2-FFPE segment S, complete sequence	CR-wild2-FFPE	NA	3052726	Reptarenavirus giessenae	OM456554_University of Giessen virus	OM456554_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071643	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (S6)	1654822	unclassified Reptarenavirus	KP071643_unidentified Reptarenavirus	KP071643_unclassified Reptarenavirus	FALSE	30	NA	Stenglein_snake_30
KP071558	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S10) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (S10)	1654822	unclassified Reptarenavirus	KP071558_unidentified Reptarenavirus	KP071558_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
MH483070	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate S14-0591_7 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	S14-0591_7	NA	3052726	Reptarenavirus giessenae	MH483070_University of Giessen virus 1	MH483070_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071545	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (S6)	1654822	unclassified Reptarenavirus	KP071545_unidentified Reptarenavirus	KP071545_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
KP071659	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake24/2007 (S6)	1654822	unclassified Reptarenavirus	KP071659_unidentified Reptarenavirus	KP071659_unclassified Reptarenavirus	FALSE	24	NA	Stenglein_snake_24
KP071610	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake8/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake8/2010 (S6)	1654822	unclassified Reptarenavirus	KP071610_unidentified Reptarenavirus	KP071610_unclassified Reptarenavirus	FALSE	8	NA	Stenglein_snake_8
KP071588	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (S6)	1654822	unclassified Reptarenavirus	KP071588_unidentified Reptarenavirus	KP071588_unclassified Reptarenavirus	FALSE	45	NA	Stenglein_snake_45
KP071571	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake12/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake12/2013 (S6)	1654822	unclassified Reptarenavirus	KP071571_unidentified Reptarenavirus	KP071571_unclassified Reptarenavirus	FALSE	12	NA	Stenglein_snake_12
KP071635	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (S6)	1654822	unclassified Reptarenavirus	KP071635_unidentified Reptarenavirus	KP071635_unclassified Reptarenavirus	FALSE	31	NA	Stenglein_snake_31
KP071493	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (S6)	1654822	unclassified Reptarenavirus	KP071493_unidentified Reptarenavirus	KP071493_unclassified Reptarenavirus	FALSE	46	NA	Stenglein_snake_46
KP071487	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (S6)	1654822	unclassified Reptarenavirus	KP071487_unidentified Reptarenavirus	KP071487_unclassified Reptarenavirus	FALSE	47	NA	Stenglein_snake_47
MH483094	University of Giessen virus 1	2447931	S	University of Giessen virus 1 isolate Sn36_6 segment S glycoprotein precursor (GPC) and nucleoprotein (NP) genes, complete cds	Sn36_6	NA	3052726	Reptarenavirus giessenae	MH483094_University of Giessen virus 1	MH483094_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071539	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Python reticulatus/California/snake15/2012 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Python reticulatus/California/snake15/2012 (S6)	1654822	unclassified Reptarenavirus	KP071539_unidentified Reptarenavirus	KP071539_unclassified Reptarenavirus	FALSE	15	NA	Stenglein_snake_15
NC_018483	Golden Gate virus	1223562	S	Golden Gate virus segment S, complete genome	BC	NA	3052723	Reptarenavirus aurei	NC_018483_Golden Gate virus	NC_018483_Reptarenavirus aurei	TRUE	NA	NA	NA
KP071657	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake10/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake10/2007 (S6)	1654822	unclassified Reptarenavirus	KP071657_unidentified Reptarenavirus	KP071657_unclassified Reptarenavirus	FALSE	10	NA	Stenglein_snake_10
JQ717264	Golden Gate virus	1223562	S	Golden Gate virus isolate BC segment S, complete sequence	BC	NA	3052723	Reptarenavirus aurei	JQ717264_Golden Gate virus	JQ717264_Reptarenavirus aurei	TRUE	NA	NA	NA
KP071482	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (S6)	1654822	unclassified Reptarenavirus	KP071482_unidentified Reptarenavirus	KP071482_unclassified Reptarenavirus	FALSE	48	NA	Stenglein_snake_48
KP071608	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake16/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake16/2010 (S6)	1654822	unclassified Reptarenavirus	KP071608_unidentified Reptarenavirus	KP071608_unclassified Reptarenavirus	FALSE	16	NA	Stenglein_snake_16
KP071524	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake5/2009 (S2) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake5/2009 (S2)	1654822	unclassified Reptarenavirus	KP071524_unidentified Reptarenavirus	KP071524_unclassified Reptarenavirus	FALSE	5	NA	Stenglein_snake_5
KP071502	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (S6A) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (S6A)	1654822	unclassified Reptarenavirus	KP071502_unidentified Reptarenavirus	KP071502_unclassified Reptarenavirus	FALSE	22	NA	Stenglein_snake_22
OM456552	University of Giessen virus	1672385	S	University of Giessen virus isolate CR-wild1-FFPE segment S, complete sequence	CR-wild1-FFPE	NA	3052726	Reptarenavirus giessenae	OM456552_University of Giessen virus	OM456552_Reptarenavirus giessenae	TRUE	NA	NA	NA
KP071619	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (S6)	1654822	unclassified Reptarenavirus	KP071619_unidentified Reptarenavirus	KP071619_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
KP071663	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (S6)	1654822	unclassified Reptarenavirus	KP071663_unidentified Reptarenavirus	KP071663_unclassified Reptarenavirus	FALSE	28	NA	Stenglein_snake_28
KP071577	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (S6)	1654822	unclassified Reptarenavirus	KP071577_unidentified Reptarenavirus	KP071577_unclassified Reptarenavirus	FALSE	26	NA	Stenglein_snake_26
KP071650	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake11/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake11/2007 (S6)	1654822	unclassified Reptarenavirus	KP071650_unidentified Reptarenavirus	KP071650_unclassified Reptarenavirus	FALSE	11	NA	Stenglein_snake_11
KP071632	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (S6)	1654822	unclassified Reptarenavirus	KP071632_unidentified Reptarenavirus	KP071632_unclassified Reptarenavirus	FALSE	39	NA	Stenglein_snake_39
KP071612	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (S6) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (S6)	1654822	unclassified Reptarenavirus	KP071612_unidentified Reptarenavirus	KP071612_unclassified Reptarenavirus	FALSE	41	NA	Stenglein_snake_41
