accession	organism	taxid	segment	description	isolate	strain	species_taxid	species_name	acc_org	acc_spp	classified	Stenglein_snake_number	Hepojoki_snake_number	snake_number
KP071553	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L18)	1654822	unclassified Reptarenavirus	KP071553_unidentified Reptarenavirus	KP071553_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
KP071560	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L17) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L17)	1654822	unclassified Reptarenavirus	KP071560_unidentified Reptarenavirus	KP071560_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
KP071626	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L6)	1654822	unclassified Reptarenavirus	KP071626_unidentified Reptarenavirus	KP071626_unclassified Reptarenavirus	FALSE	40	NA	Stenglein_snake_40
MH483068	Suri Vanera virus 2	2447939	L	Suri Vanera virus 2 isolate S14-0591_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-0591_5	NA	1654822	unclassified Reptarenavirus	MH483068_Suri Vanera virus 2	MH483068_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071510	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L17) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L17)	1654822	unclassified Reptarenavirus	KP071510_unidentified Reptarenavirus	KP071510_unclassified Reptarenavirus	FALSE	35	NA	Stenglein_snake_35
KP071570	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L6)	1654822	unclassified Reptarenavirus	KP071570_unidentified Reptarenavirus	KP071570_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
MN567044	Aramboia boa virus-1	2707726	L	Aramboia boa virus-1 isolate N171-16_ArBV-1 segment L, complete sequence	N171-16_ArBV-1	NA	1654822	unclassified Reptarenavirus	MN567044_Aramboia boa virus-1	MN567044_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071489	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L5)	1654822	unclassified Reptarenavirus	KP071489_unidentified Reptarenavirus	KP071489_unclassified Reptarenavirus	FALSE	47	NA	Stenglein_snake_47
KR870027	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-4 segment L Z protein and RdRp genes, complete cds	4	UHV-4	1654822	unclassified Reptarenavirus	KR870027_University of Helsinki virus	KR870027_unclassified Reptarenavirus	FALSE	NA	Hepojoki_2015_snake_8	Hepojoki_2015_snake_8
MH483057	Kiva uusi kaarme virus 1	2447937	L	Kiva uusi kaarme virus 1 isolate Ger-pool_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Ger-pool_6	NA	1654822	unclassified Reptarenavirus	MH483057_Kiva uusi kaarme virus 1	MH483057_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH503956	Peto jauhoksi virus	2301524	L	Peto jauhoksi virus strain S17-252_5 segment L, complete sequence	Peto jauhoksi virus-1	S17-252_5	1654822	unclassified Reptarenavirus	MH503956_Peto jauhoksi virus	MH503956_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071581	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L18)	1654822	unclassified Reptarenavirus	KP071581_unidentified Reptarenavirus	KP071581_unclassified Reptarenavirus	FALSE	26	NA	Stenglein_snake_26
OM456557	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild3-FFPE segment L, complete sequence	CR-wild3-FFPE	NA	1654822	unclassified Reptarenavirus	OM456557_Aurora borealis virus 3	OM456557_unclassified Reptarenavirus	FALSE	NA	NA	NA
MH483075	Tavallinen suomalainen mies virus 1	2447938	L	Tavallinen suomalainen mies virus 1 isolate S14-1477-78_7 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_7	NA	1654822	unclassified Reptarenavirus	MH483075_Tavallinen suomalainen mies virus 1	MH483075_unclassified Reptarenavirus	FALSE	NA	NA	NA
KP071547	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L17) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L17)	1654822	unclassified Reptarenavirus	KP071547_unidentified Reptarenavirus	KP071547_unclassified Reptarenavirus	FALSE	33	NA	Stenglein_snake_33
KP071574	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L13) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L13)	1654822	unclassified Reptarenavirus	KP071574_unidentified Reptarenavirus	KP071574_unclassified Reptarenavirus	FALSE	37	NA	Stenglein_snake_37
KP071535	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L11) segment L Z protein (Z) gene, complete cds; and L polymerase (L) gene, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L11)	1654822	unclassified Reptarenavirus	KP071535_unidentified Reptarenavirus	KP071535_unclassified Reptarenavirus	FALSE	36	NA	Stenglein_snake_36
KP071670	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L6)	1654822	unclassified Reptarenavirus	KP071670_unidentified Reptarenavirus	KP071670_unclassified Reptarenavirus	FALSE	28	NA	Stenglein_snake_28
KP071679	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L3)	1654822	unclassified Reptarenavirus	KP071679_unidentified Reptarenavirus	KP071679_unclassified Reptarenavirus	FALSE	32	NA	Stenglein_snake_32
KP071563	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L9) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L9)	1654822	unclassified Reptarenavirus	KP071563_unidentified Reptarenavirus	KP071563_unclassified Reptarenavirus	FALSE	34	NA	Stenglein_snake_34
KP071634	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (L3)	1654822	unclassified Reptarenavirus	KP071634_unidentified Reptarenavirus	KP071634_unclassified Reptarenavirus	FALSE	39	NA	Stenglein_snake_39
