accession	organism	taxid	segment	description	isolate	strain
KP071649	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L18)
KP071512	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L11)
NC_018482	Golden Gate virus	1223562	L	Golden Gate virus segment L, complete genome	BC	NA
KP071542	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Tennessee/snake6/2008 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Tennessee/snake6/2008 (L2)
KP071527	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake4/2009 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake4/2009 (L2)
JQ717263	Golden Gate virus	1223562	L	Golden Gate virus isolate BC segment L, complete sequence	BC	NA
KP071639	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L5)
KP071655	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L18)
KP071641	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L18)
KP071633	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (L18)
KP071511	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L8) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L8)
MH483050	tavallinen suomalainen mies virus 2	2447930	L	Tavallinen suomalainen mies virus 2 isolate F17-0012_8 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_8	NA
KP071615	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L7)
KP071525	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake5/2009 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake5/2009 (L2)
KP071495	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (L7)
KP071477	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (L7)
KP071590	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (L7)
NC_039008	Tavallinen suomalainen mies virus	1672384	L	Tavallinen suomalainen mies virus clone TSMV-2_L_F15-133 Z-protein and RNA-dependent RNA polymerase genes, complete cds	TSMV2	NA
KX527582	tavallinen suomalainen mies virus 2	2447930	L	Tavallinen suomalainen mies virus 2 clone TSMV-2_L_F15-133 Z-protein and RNA-dependent RNA polymerase genes, complete cds	TSMV2	NA
KX527586	University of Helsinki virus	1382279	L	University of Helsinki virus clone UHV-3_L_F15158 Z-protein and RNA-dependent RNA polymerase genes, complete cds	UHV3	NA
KP071546	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L4) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L4)
MH483093	Tavallinen suomalainen mies virus 1	2447938	L	Tavallinen suomalainen mies virus 1 isolate Sn36_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Sn36_5	NA
KX527595	Tavallinen suomalainen mies virus	1672384	L	Tavallinen suomalainen mies virus clone TSMV-1_L_S13-1157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	TSMV1	NA
KP071666	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L11)
KP071614	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L16) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L16)
KP071565	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L11)
MH483091	Aurora borealis virus 4	2447933	L	Aurora borealis virus 4 isolate Sn36_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Sn36_3	NA
MH483073	Peto jauhoksi virus 1	2447934	L	Peto jauhoksi virus 1 isolate S14-1477-78_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_5	NA
MH483060	Tavallinen suomalainen mies virus 1	2447938	L	Tavallinen suomalainen mies virus 1 isolate Ger-pool_9 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Ger-pool_9	NA
MH483054	Aurora borealis virus 4	2447933	L	Aurora borealis virus 4 isolate F18-5_2 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F18-5_2	NA
KP071636	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L2) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L2)
MN567065	Porto Alegre virus-1	2707728	L	Porto Alegre virus-1 isolate 1175-17_PAV-1 segment L, complete sequence	1175-17_PAV-1	NA
KP071680	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L6)
KP071656	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L6)
KP071504	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (L11)
KP071564	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L20) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L20)
MH483082	Tavallinen suomalainen mies virus 1	2447938	L	Tavallinen suomalainen mies virus 1 isolate S15-0040_7 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S15-0040_7	NA
KR870028	Hans Kompis virus	1672382	L	Hans Kompis virus strain HKV-1 segment L Z protein and RdRp genes, complete cds	1	HKV-1
MH483086	Peto jauhoksi virus 1	2447934	L	Peto jauhoksi virus 1 isolate S17-172_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S17-172_5	NA
KX527596	Hans Kompis virus	1672382	L	Hans Kompis virus clone HKV-1_L_S131157 Z-protein and RNA-dependent RNA polymerase genes, complete cds	HKV1	NA
KP071651	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake11/2007 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake11/2007 (L3)
KP071629	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake38/2009 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake38/2009 (L3)
KP071591	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake45/2010 (L3)
KP071586	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L3)
KP071572	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake12/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake12/2013 (L3)
KP071569	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L3)
KP071521	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake13/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake13/2013 (L3)
MH483058	Hipoen jatkoon virus 1	2447928	L	Hipoen jatkoon virus 1 isolate Ger-pool_7 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Ger-pool_7	NA
KR870029	University of Giessen virus 2	2461343	L	University of Giessen virus 2 strain UGV-2 segment L Z protein and RdRp genes, complete cds	2	UGV-2
KP071602	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake42/2010 (L3)
KP071596	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L3)
KP071496	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (L3)
KP071491	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L3)
OM456550	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-captive3-FFPE segment L, complete sequence	CR-captive3-FFPE	NA
MW091467	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate F18-300-101_ABV-3_L Z protein and RNA-dependent RNA polymerase genes, complete cds	F18-300-101_ABV-3_L	NA
MH483045	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate F17-0012_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_3	NA
KP071642	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake31/2007 (L6)
KP071594	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake43/2010 (L7)
KP071523	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake14/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake14/2013 (L3)
KP071490	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L7)
KP071675	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L5)
KP071667	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L5)
KP071658	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake10/2007 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake10/2007 (L3)
KP071654	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake29/2007 (L5)
KP071648	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake30/2007 (L5)
MH483055	Peto jauhoksi virus 1	2447934	L	Peto jauhoksi virus 1 isolate F18-5_3 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F18-5_3	NA
KX527590	University of Helsinki virus	1382279	L	University of Helsinki virus clone UHV-4_L_T200 Z-protein and RNA-dependent RNA polymerase genes, complete cds	UHV4	NA
KP071617	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake41/2010 (L3)
OM456562	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-Wild5-brain segment L, complete sequence	CR-Wild5-brain	NA
KP071505	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake22/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake22/2013 (L3)
KP071576	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L3)
KP071554	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L3)
MH483069	tavallinen suomalainen mies virus 2	2447930	L	Tavallinen suomalainen mies virus 2 isolate S14-0591_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-0591_6	NA
OM456555	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild2-FFPE segment L, complete sequence	CR-wild2-FFPE	NA
MH483051	University of Giessen virus 1	2447931	L	University of Giessen virus 1 isolate F17-0012_9 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	F17-0012_9	NA
KR870030	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-2 segment L Z protein and RdRp genes, complete cds	2	UHV-2
KP071484	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake48/2013 (L7) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake48/2013 (L7)
KR870021	Aurora borealis virus	1672381	L	Aurora borealis virus strain ABV-1 segment L Z protein and RdRp genes, complete cds	1	ABV-1
KP071540	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Python reticulatus/California/snake15/2012 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Python reticulatus/California/snake15/2012 (L3)
KP071537	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L3) segment L Z protein (Z) gene, complete cds; and L polymerase (L) gene, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L3)
KP071515	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L3)
KP071497	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake46/2013 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake46/2013 (L6)
KP071492	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L6)
KP071553	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L18)
KP071560	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L17) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L17)
KP071626	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L6)
MH483068	Suri Vanera virus 2	2447939	L	Suri Vanera virus 2 isolate S14-0591_5 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-0591_5	NA
KP071510	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake35/2013 (L17) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake35/2013 (L17)
KP071570	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L6)
MN567044	Aramboia boa virus-1	2707726	L	Aramboia boa virus-1 isolate N171-16_ArBV-1 segment L, complete sequence	N171-16_ArBV-1	NA
KP071489	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake47/2013 (L5) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake47/2013 (L5)
KR870027	University of Helsinki virus	1382279	L	University of Helsinki virus strain UHV-4 segment L Z protein and RdRp genes, complete cds	4	UHV-4
MH483057	Kiva uusi kaarme virus 1	2447937	L	Kiva uusi kaarme virus 1 isolate Ger-pool_6 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	Ger-pool_6	NA
MH503956	Peto jauhoksi virus	2301524	L	Peto jauhoksi virus strain S17-252_5 segment L, complete sequence	Peto jauhoksi virus-1	S17-252_5
KP071581	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake26/2011 (L18)
OM456557	Aurora borealis virus 3	2447924	L	Aurora borealis virus 3 isolate CR-wild3-FFPE segment L, complete sequence	CR-wild3-FFPE	NA
MH483075	Tavallinen suomalainen mies virus 1	2447938	L	Tavallinen suomalainen mies virus 1 isolate S14-1477-78_7 segment L Z protein (ZP) and RNA-dependent RNA polymerase (RdRp) genes, complete cds	S14-1477-78_7	NA
KP071547	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L17) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L17)
KP071574	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L13) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L13)
KP071535	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake36/2014 (L11) segment L Z protein (Z) gene, complete cds; and L polymerase (L) gene, partial cds	NA	Reptarenavirus/Boa dumerili/California/snake36/2014 (L11)
KP071670	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L6)
KP071679	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L3)
KP071563	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L9) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L9)
KP071634	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake39/2007 (L3)
KP071500	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake23/2013 (L11) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake23/2013 (L11)
KP071672	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake19/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake19/2007 (L18)
KP071625	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L3) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L3)
KP071587	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Louisiana/snake44/2010 (L6)
KP071669	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Georgia/snake28/2007 (L18)
KP071555	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L6) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L6)
KP071678	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L18) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake32/2005 (L18)
MZ818775	University of Helsinki virus 3	2447932	L	University of Helsinki virus 3 strain Coldvalley segment L, partial sequence	NA	Coldvalley
KP071622	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake40/2010 (L20) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake40/2010 (L20)
KP071575	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Arkansas/snake37/2012 (L21)
KP071567	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/Florida/snake34/1997 (L21)
KP071549	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa constrictor/California/snake33/2008 (L20) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa constrictor/California/snake33/2008 (L20)
KP071478	unidentified Reptarenavirus	1654823	L	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (L21) segment L Z protein (Z) and L polymerase (L) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (L21)
