accession	organism	taxid	segment	description	isolate	strain
KX527581	S5-like reptarenavirus	1938918	S	S5-like reptarenavirus clone S5-like-S131157 glycoprotein precursor and nucleoprotein genes, complete cds	S5L2	NA
KP071471	unidentified Reptarenavirus	1654823	S	Unidentified Reptarenavirus strain Reptarenavirus/Boa dumerili/California/snake27/2009 (S2) segment S glycoprotein (GPC) and nucleoprotein (NP) genes, complete cds	NA	Reptarenavirus/Boa dumerili/California/snake27/2009 (S2)
KR870014	University of Giessen virus	1672385	S	University of Giessen virus strain UGV-4 segment S GPC and NP genes, complete cds	4	UGV-4
MZ818776	University of Helsinki virus 3	2447932	S	University of Helsinki virus 3 strain Coldvalley segment S, partial sequence	NA	Coldvalley
KC508668	ROUT virus	1303019	S	Boa arenavirus NL isolate B8 nucleoprotein gene, partial cds	B8	NA
KC508665	ROUT virus	1303019	S	Boa arenavirus NL isolate B4 nucleoprotein gene, partial cds	B4	NA
KC508667	ROUT virus	1303019	S	Boa arenavirus NL isolate B7 nucleoprotein gene, partial cds	B7	NA
KC508666	ROUT virus	1303019	S	Boa arenavirus NL isolate B6 nucleoprotein gene, partial cds	B6	NA
KC508664	ROUT virus	1303019	S	Boa arenavirus NL isolate B2 nucleoprotein gene, partial cds	B2	NA
KY072972	Reptarenavirus sp.	2056255	S	Reptarenavirus sp. isolate Corn snake reptarenavirus nucleoprotein gene, partial cds	Corn snake reptarenavirus	NA
KY072971	Reptarenavirus sp.	2056255	S	Reptarenavirus sp. isolate Stimson's python 2 reptarenavirus nucleoprotein gene, partial cds	Stimson's python 2 reptarenavirus	NA
KY072970	Reptarenavirus sp.	2056255	S	Reptarenavirus sp. isolate Stimson's python 5 reptarenavirus nucleoprotein gene, partial cds	Stimson's python 5 reptarenavirus	NA
KY072969	Reptarenavirus sp.	2056255	S	Reptarenavirus sp. isolate Rough-scaled python reptarenavirus nucleoprotein gene, partial cds	Rough-scaled python reptarenavirus	NA
